METAL FORM CODE                            METAL FORM LITERAL
ALUMINUM-PUNCHINGS                                    PUNCHINGS
ALUMINUM-RADIATOR                                     RADIATOR
ALUMINUM-REEFER                                       REEFER
ALUMINUM-RIM                                          RIM
ALUMINUM-RIMS                                         RIMS
ALUMINUM-RIVET                                        RIVET
ALUMINUM-ROMEX_INSULATED                              ROMEX INSULATED
ALUMINUM-SADDLE                                       SADDLE
ALUMINUM-SCAFFOLDING                                  SCAFFOLDING
ALUMINUM-SCRAP                                        SCRAP
ALUMINUM-SCREEN                                       SCREEN
ALUMINUM-SEAT                                         SEAT
ALUMINUM-SHAVING                                      SHAVING
ALUMINUM-SHEAR                                        SHEAR
ALUMINUM-SHEET                                        SHEET
ALUMINUM-SHEET_FRAME                                  SHEET FRAME
ALUMINUM-SHEET_GUTTER                                 SHEET GUTTER
ALUMINUM-SHEET_MIXED                                  SHEET MIXED
ALUMINUM-SHEET_PIPE                                   SHEET PIPE
ALUMINUM-SHEET_SIDING                                 SHEET SIDING
ALUMINUM-SHELVING                                     SHELVING
ALUMINUM-SHOPPING_CART                                SHOPPING CART
ALUMINUM-SIDING                                       SIDING
ALUMINUM-SIGN                                         SIGN
ALUMINUM-SOWS                                         SOWS
ALUMINUM-STANDARD_TRANSMISSION                        STANDARD TRANSMISSION
ALUMINUM-STARTER                                      STARTER
ALUMINUM-STEPS                                        STEPS
ALUMINUM-STRAND_FILLED_URD                            STRAND FILLED URD
ALUMINUM-TANK                                         TANK
ALUMINUM-TRANSFORMER                                  TRANSFORMER
ALUMINUM-TRANSFORMER_CORE                             TRANSFORMER CORE
ALUMINUM-TRANSMISSION                                 TRANSMISSION
ALUMINUM-TUBING                                       TUBING
ALUMINUM-TURNINGS                                     TURNINGS
ALUMINUM-URD                                          URD
ALUMINUM-URD_WIRE                                     URD WIRE
ALUMINUM-VALVE                                        VALVE
ALUMINUM-VERTICAL_BLINDS                              VERTICAL BLINDS
ALUMINUM-WHEEL                                        WHEEL
ALUMINUM-WHEEL_WEIGHT                                 WHEEL WEIGHT
ALUMINUM-WINDOW_FRAME                                 WINDOW FRAME
ALUMINUM-WIRE                                         WIRE
BRASS-ADMIRALTY                                       ADMIRALTY
BRASS-ADMIRALTY_CONDENSOR_TUBE                        ADMIRALTY CONDENSOR TUBE
BRASS-BORINGS                                         BORINGS
BRASS-BREAKAGE                                        BREAKAGE
BRASS-CLEAN                                           CLEAN
BRASS-CLIP                                            CLIP
BRASS-COCKS__FAUCET                                   COCKS  FAUCET
