VEHICLE CODE      VEHICLE LITERAL
AUTO-DODG-COM      DODGE COMPACT SPORTSMAN
AUTO-DODG-CON      DODGE CONQUEST (MODEL YEAR 1986 ONLY)
AUTO-DODG-COR      DODGE CORONET
AUTO-DODG-CVN      DODGE CARAVAN
AUTO-DODG-DAK      DODGE DAKOTA
AUTO-DODG-DAR      DODGE DART
AUTO-DODG-DAY      DODGE DAYTONA
AUTO-DODG-DEL      DODGE DELUXE
AUTO-DODG-DEM      DODGE DEMON (DART)
AUTO-DODG-DIP      DODGE DIPLOMAT
AUTO-DODG-DUR      DODGE DURANGO
AUTO-DODG-DYN      DODGE DYNASTY
AUTO-DODG-FLS      DODGE FLEET SPECIAL
AUTO-DODG-INT      DODGE INTREPID
AUTO-DODG-JNY      DODGE JOURNEY
AUTO-DODG-LAN      DODGE LANCER
AUTO-DODG-MAG      DODGE MAGNUM
AUTO-DODG-MEA      DODGE MEADOWBROOK
AUTO-DODG-MIR      DODGE MIRADA
AUTO-DODG-MON      DODGE MONACO
AUTO-DODG-NEO      DODGE NEON (SRT4 SX20)
AUTO-DODG-NIT      DODGE NITRO
AUTO-DODG-OMI      DODGE OMNI (ALSO 024)
AUTO-DODG-PHO      DODGE PHOENIX
AUTO-DODG-PIO      DODGE PIONEER
AUTO-DODG-POL      DODGE POLARA
AUTO-DODG-PRM      DODGE POWER RAM
AUTO-DODG-R15      DODGE RAM 1500 PU
AUTO-DODG-R25      DODGE RAM 2500 PU
AUTO-DODG-R35      DODGE RAM 3500 PU
AUTO-DODG-R45      DODGE NULL
AUTO-DODG-R55      DODGE NULL
AUTO-DODG-RCH      DODGE RAM CHARGER
AUTO-DODG-RDR      DODGE RAIDER
AUTO-DODG-ROY      DODGE ROYAL
AUTO-DODG-SEN      DODGE SENECA
AUTO-DODG-SHA      DODGE SHADOW
AUTO-DODG-SPI      DODGE SPIRIT
AUTO-DODG-SPR      DODGE SPRINTER
AUTO-DODG-STA      DODGE STRATUS
AUTO-DODG-STE      DODGE STEALTH
AUTO-DODG-STR      DODGE ST. REGIS
AUTO-DODG-SWI      DODGE SWINGER(DART)
AUTO-DODG-TRD      DODGE TRADESMAN
AUTO-DODG-V15      DODGE RAM 1500 VAN
AUTO-DODG-V25      DODGE RAM 2500 VAN
AUTO-DODG-V35      DODGE RAM 3500 VAN
AUTO-DODG-VIP      DODGE VIPER
AUTO-DODG-WAY      DODGE WAYFARER
AUTO-DRTI-000      DORETTI NULL
AUTO-ECMI-000      ELECTRIC CITY MOTORS, NORTH AMERICA, INC. NULL
AUTO-EDSE-CIT      EDSEL CITATION
AUTO-EDSE-COR      EDSEL CORSAIR
AUTO-EDSE-PAC      EDSEL PACER
AUTO-EDSE-RAN      EDSEL RANGER
AUTO-EDSE-VIL      EDSEL VILLAGER
AUTO-EGIL-MED      EAGLE MEDALLION (MODEL YEAR 1988)
AUTO-EGIL-PRE      EAGLE PREMIER
AUTO-EGIL-SUM      EAGLE SUMMIT
AUTO-EGIL-TAL      EAGLE TALON
AUTO-EGIL-VIS      EAGLE VISION
AUTO-ENCR-151      ENCORE M151
AUTO-ENCR-SPT      ENCORE SPORT
AUTO-ENGF-100      ENGLISH FORD (BRITISH) 100 E SERIES
AUTO-ENGF-105      ENGLISH FORD (BRITISH) 105 E SERIES
AUTO-ENGF-ANG      ENGLISH FORD (BRITISH) ANGLIA
AUTO-ENGF-CAP      ENGLISH FORD (BRITISH) CAPRI
AUTO-ENGF-CON      ENGLISH FORD (BRITISH) CONSUL
AUTO-ENGF-COR      ENGLISH FORD (BRITISH) CORSAIR
AUTO-ENGF-CTA      ENGLISH FORD (BRITISH) CORTINA
AUTO-ENGF-ESC      ENGLISH FORD (BRITISH) ESCORT
AUTO-ENGF-GT       ENGLISH FORD (BRITISH) GT
AUTO-ENGF-LOT      ENGLISH FORD (BRITISH) LOTUS
AUTO-ENGF-MK2      ENGLISH FORD (BRITISH) MARK II
AUTO-ENGF-PER      ENGLISH FORD (BRITISH) PERFECT
AUTO-ENGF-SQU      ENGLISH FORD (BRITISH) SQUIRE
AUTO-ENGF-THA      ENGLISH FORD (BRITISH) THAMES
AUTO-ENGF-ZEP      ENGLISH FORD (BRITISH) ZEPHYR
AUTO-ENGF-ZOD      ENGLISH FORD (BRITISH) ZODIAC
AUTO-ENVY-EPI      ENVOY EPIC
AUTO-EXCL-COB      EXCALIBUR COBRA
AUTO-EXCL-JAC      EXCALIBUR JAC 427 COBRA
AUTO-EXCL-SSK      EXCALIBUR SSK
AUTO-EXCL-SSP      EXCALIBUR SS PHAETON
AUTO-EXCL-SSR      EXCALIBUR SS ROADSTER
AUTO-FERR-206      FERRARI 206
AUTO-FERR-208      FERRARI 208
AUTO-FERR-246      FERRARI 246
AUTO-FERR-308      FERRARI 308
AUTO-FERR-328      FERRARI 328
AUTO-FERR-348      FERRARI 348
AUTO-FERR-360      FERRARI 360 MODENA
AUTO-FERR-430      FERRARI 430
AUTO-FERR-456      FERRARI 456GT
AUTO-FERR-458      FERRARI NULL
AUTO-FERR-512      FERRARI 512
AUTO-FERR-575      FERRARI 575 MM
AUTO-FERR-599      FERRARI 599
AUTO-FERR-612      FERRARI 612 SCAGLIETTI
AUTO-FERR-BAR      FERRARI BARCHETTA (OR F130)
AUTO-FERR-CAL      FERRARI NULL
AUTO-FERR-DAY      FERRARI DAYTONA
AUTO-FERR-ENZ      FERRARI ENZO
AUTO-FERR-F35      FERRARI F355
AUTO-FERR-F40      FERRARI F40
AUTO-FERR-F50      FERRARI F50
AUTO-FERR-MAR      FERRARI F550 MARANELLO
AUTO-FERR-MON      FERRARI MONDIAL
AUTO-FERR-QUA      FERRARI QUATTROVALVOLVE
AUTO-FERR-TES      FERRARI TESTAROSSA
AUTO-FERR-TIP      FERRARI TIPO
AUTO-FIAT-110      FIAT 1100 - D OR R
AUTO-FIAT-120      FIAT 1200
AUTO-FIAT-124      FIAT 124 SERIES
AUTO-FIAT-128      FIAT 128 SERIES
AUTO-FIAT-131      FIAT 131 SERIES
AUTO-FIAT-150      FIAT 1500
AUTO-FIAT-500      FIAT NULL
AUTO-FIAT-600      FIAT 600D
AUTO-FIAT-750      FIAT 750
AUTO-FIAT-85F      FIAT 850 FASTBACK
AUTO-FIAT-BRA      FIAT BRAVA
AUTO-FIAT-FRE      FIAT NULL
AUTO-FIAT-PUN      FIAT PUNTO
AUTO-FIAT-RIM      FIAT RIMTO
AUTO-FIAT-SPI      FIAT SPIDER SERIES
AUTO-FIAT-STR      FIAT STRADA
AUTO-FIAT-ULY      FIAT ULYSSE
AUTO-FIAT-UNO      FIAT UNO
AUTO-FIAT-X19      FIAT X19
AUTO-FLYB-XFD      FLYBO OR FLY BO NULL
AUTO-FORD-300      FORD (ALSO SEE ENGLISH, FRENCH 300 SERIES
AUTO-FORD-500      FORD (ALSO SEE ENGLISH, FRENCH 500
AUTO-FORD-7LR      FORD (ALSO SEE ENGLISH, FRENCH 7 LITRE
AUTO-FORD-AER      FORD (ALSO SEE ENGLISH, FRENCH AEROSTAR
AUTO-FORD-ASP      FORD (ALSO SEE ENGLISH, FRENCH ASPIRE
AUTO-FORD-BRO      FORD (ALSO SEE ENGLISH, FRENCH BRONCO
AUTO-FORD-BRW      FORD (ALSO SEE ENGLISH, FRENCH BREWSTER
AUTO-FORD-CMX      FORD (ALSO SEE ENGLISH, FRENCH NULL
AUTO-FORD-CNT      FORD (ALSO SEE ENGLISH, FRENCH CONTOUR
AUTO-FORD-COB      FORD (ALSO SEE ENGLISH, FRENCH COBRA
AUTO-FORD-COQ      FORD (ALSO SEE ENGLISH, FRENCH COUNTRY SQUIRE
AUTO-FORD-COY      FORD (ALSO SEE ENGLISH, FRENCH COUNTRY SEDAN
AUTO-FORD-CRE      FORD (ALSO SEE ENGLISH, FRENCH CRESTLINE
AUTO-FORD-CST      FORD (ALSO SEE ENGLISH, FRENCH CUSTOMLINE
AUTO-FORD-CTY      FORD (ALSO SEE ENGLISH, FRENCH THINK CITY (ELEC.)
AUTO-FORD-CUS      FORD (ALSO SEE ENGLISH, FRENCH CUSTOM
AUTO-FORD-CVC      FORD (ALSO SEE ENGLISH, FRENCH CROWN VICTORIA
AUTO-FORD-CW1      FORD (ALSO SEE ENGLISH, FRENCH CLUB WAGON E150
AUTO-FORD-CW2      FORD (ALSO SEE ENGLISH, FRENCH CLUB WAGON E250
AUTO-FORD-CW3      FORD (ALSO SEE ENGLISH, FRENCH CLUB WAGON E350
AUTO-FORD-DEL      FORD (ALSO SEE ENGLISH, FRENCH DELUXE
AUTO-FORD-E45      FORD (ALSO SEE ENGLISH, FRENCH ECONOLINE E450
AUTO-FORD-E55      FORD (ALSO SEE ENGLISH, FRENCH ECONOLINE E550
AUTO-FORD-EC1      FORD (ALSO SEE ENGLISH, FRENCH ECONOLINE E150
AUTO-FORD-EC2      FORD (ALSO SEE ENGLISH, FRENCH ECONOLINE E250
AUTO-FORD-EC3      FORD (ALSO SEE ENGLISH, FRENCH ECONOLINE E350
AUTO-FORD-ECO      FORD (ALSO SEE ENGLISH, FRENCH ECONOLINE 100
AUTO-FORD-ECP      FORD (ALSO SEE ENGLISH, FRENCH ESCAPE
AUTO-FORD-EDG      FORD (ALSO SEE ENGLISH, FRENCH EDGE
AUTO-FORD-ELI      FORD (ALSO SEE ENGLISH, FRENCH ELITE
AUTO-FORD-EPD      FORD (ALSO SEE ENGLISH, FRENCH EXPEDITION
AUTO-FORD-ESC      FORD (ALSO SEE ENGLISH, FRENCH ESCORT
AUTO-FORD-EXC      FORD (ALSO SEE ENGLISH, FRENCH EXCURSION
AUTO-FORD-EXP      FORD (ALSO SEE ENGLISH, FRENCH EXP
AUTO-FORD-F10      FORD (ALSO SEE ENGLISH, FRENCH F100
AUTO-FORD-F15      FORD (ALSO SEE ENGLISH, FRENCH F150
AUTO-FORD-F25      FORD (ALSO SEE ENGLISH, FRENCH F250
AUTO-FORD-F35      FORD (ALSO SEE ENGLISH, FRENCH F350
AUTO-FORD-F45      FORD (ALSO SEE ENGLISH, FRENCH F450
AUTO-FORD-F55      FORD (ALSO SEE ENGLISH, FRENCH F550
AUTO-FORD-F65      FORD (ALSO SEE ENGLISH, FRENCH F650
AUTO-FORD-FAI      FORD (ALSO SEE ENGLISH, FRENCH FAIRLANE
AUTO-FORD-FAL      FORD (ALSO SEE ENGLISH, FRENCH FALCON
AUTO-FORD-FAR      FORD (ALSO SEE ENGLISH, FRENCH FAIRMONT
AUTO-FORD-FES      FORD (ALSO SEE ENGLISH, FRENCH FESTIVA
AUTO-FORD-FIE      FORD (ALSO SEE ENGLISH, FRENCH FIESTA
AUTO-FORD-FLX      FORD (ALSO SEE ENGLISH, FRENCH FLEX
AUTO-FORD-FOC      FORD (ALSO SEE ENGLISH, FRENCH FOCUS
AUTO-FORD-FRE      FORD (ALSO SEE ENGLISH, FRENCH FREESTAR
AUTO-FORD-FRO      FORD (ALSO SEE ENGLISH, FRENCH FRONTENAC
AUTO-FORD-FSY      FORD (ALSO SEE ENGLISH, FRENCH FREESTYLE
AUTO-FORD-FUS      FORD (ALSO SEE ENGLISH, FRENCH FUSION
AUTO-FORD-FUT      FORD (ALSO SEE ENGLISH, FRENCH FUTURA
AUTO-FORD-GAL      FORD (ALSO SEE ENGLISH, FRENCH GALAXIE
AUTO-FORD-GRA      FORD (ALSO SEE ENGLISH, FRENCH GRANADA
AUTO-FORD-GT       FORD (ALSO SEE ENGLISH, FRENCH GT
AUTO-FORD-KA       FORD (ALSO SEE ENGLISH, FRENCH KA
AUTO-FORD-LAS      FORD (ALSO SEE ENGLISH, FRENCH LASER
AUTO-FORD-LLT      FORD (ALSO SEE ENGLISH, FRENCH LLT
AUTO-FORD-LT2      FORD (ALSO SEE ENGLISH, FRENCH LTD II
AUTO-FORD-LTD      FORD (ALSO SEE ENGLISH, FRENCH LTD
AUTO-FORD-MAI      FORD (ALSO SEE ENGLISH, FRENCH MAINLINE
AUTO-FORD-MAV      FORD (ALSO SEE ENGLISH, FRENCH MAVERICK
AUTO-FORD-MOA      FORD (ALSO SEE ENGLISH, FRENCH MODEL A
AUTO-FORD-MOT      FORD (ALSO SEE ENGLISH, FRENCH MODEL T
AUTO-FORD-MUS      FORD (ALSO SEE ENGLISH, FRENCH MUSTANG
AUTO-FORD-NBR      FORD (ALSO SEE ENGLISH, FRENCH THINK NEIGHBOR (ELEC.)
AUTO-FORD-NEV      FORD (ALSO SEE ENGLISH, FRENCH NEVADA
AUTO-FORD-PAC      FORD (ALSO SEE ENGLISH, FRENCH PAC
AUTO-FORD-PIN      FORD (ALSO SEE ENGLISH, FRENCH PINTO
AUTO-FORD-PRO      FORD (ALSO SEE ENGLISH, FRENCH PROBE
AUTO-FORD-RAH      FORD (ALSO SEE ENGLISH, FRENCH RANCH
AUTO-FORD-RAN      FORD (ALSO SEE ENGLISH, FRENCH RANCHERO
AUTO-FORD-RAW      FORD (ALSO SEE ENGLISH, FRENCH RANCH WAGON
AUTO-FORD-RNG      FORD (ALSO SEE ENGLISH, FRENCH RANGER
AUTO-FORD-SPE      FORD (ALSO SEE ENGLISH, FRENCH SPECIAL
AUTO-FORD-SQU      FORD (ALSO SEE ENGLISH, FRENCH SQUIRE
AUTO-FORD-STA      FORD (ALSO SEE ENGLISH, FRENCH STARLINER
AUTO-FORD-STN      FORD (ALSO SEE ENGLISH, FRENCH NULL
AUTO-FORD-SUN      FORD (ALSO SEE ENGLISH, FRENCH SUNLINER
AUTO-FORD-SUP      FORD (ALSO SEE ENGLISH, FRENCH SUPER
AUTO-FORD-TAU      FORD (ALSO SEE ENGLISH, FRENCH TAURUS
AUTO-FORD-TCN      FORD (ALSO SEE ENGLISH, FRENCH TRANSIT CONNECT
AUTO-FORD-TEM      FORD (ALSO SEE ENGLISH, FRENCH TEMPO
AUTO-FORD-THU      FORD (ALSO SEE ENGLISH, FRENCH THUNDERBIRD
AUTO-FORD-TOR      FORD (ALSO SEE ENGLISH, FRENCH TORINO (FAIRLANE)
AUTO-FORD-VIC      FORD (ALSO SEE ENGLISH, FRENCH VICTORIA
AUTO-FORD-WIN      FORD (ALSO SEE ENGLISH, FRENCH WINDSTAR
AUTO-FORD-XL       FORD (ALSO SEE ENGLISH, FRENCH XL
AUTO-FORD-XPL      FORD (ALSO SEE ENGLISH, FRENCH EXPLORER
AUTO-FORD-XST      FORD (ALSO SEE ENGLISH, FRENCH EXPLORER SPORT TRAC
AUTO-FORD-ZX2      FORD (ALSO SEE ENGLISH, FRENCH ZX2
AUTO-FREF-COM      FRENCH FORD COMETE
AUTO-FREF-VED      FRENCH FORD VEDETTE
AUTO-FREF-VEN      FRENCH FORD VENDOME
AUTO-FRHT-SPR      FREIGHTLINER CORP. NULL
AUTO-FRHT-TK       FREIGHTLINER CORP. TRUCK
AUTO-FSKR-KRM       NULL
AUTO-GATM-000      GATOR MOTO, LLC NULL
AUTO-GAZ-CHA       GAZ CHAIKA
AUTO-GAZ-GAZ       GAZ GAZ
AUTO-GAZ-GZL       GAZ GZL
AUTO-GAZ-RAG       GAZ RAG
AUTO-GAZ-VOL       GAZ VOLGA
AUTO-GEO-MET       GEO METRO
AUTO-GEO-PRI       GEO PRIZM
AUTO-GEO-STO       GEO STORM
AUTO-GEO-TRK       GEO TRACKER
AUTO-GLAS-GOG      GLAS GOGGOMOBILE
AUTO-GLBL-825      GLOBAL ELECTRIC MOTORCARS E825
AUTO-GLBL-E2       GLOBAL ELECTRIC MOTORCARS E2
AUTO-GLBL-E4       GLOBAL ELECTRIC MOTORCARS E4
AUTO-GLBL-E6       GLOBAL ELECTRIC MOTORCARS E6
AUTO-GLBL-EL       GLOBAL ELECTRIC MOTORCARS EL
AUTO-GLBL-ELX      GLOBAL ELECTRIC MOTORCARS ELX
AUTO-GLBL-ES       GLOBAL ELECTRIC MOTORCARS ES
AUTO-GM-EV1        GENERAL MOTORS EV1
AUTO-GM-EVI        GENERAL MOTORS EV1
AUTO-GMC-ACA       GENERAL MOTORS CORP. ACADIA
AUTO-GMC-C15       GENERAL MOTORS CORP. C/K 1500 PICKUP
AUTO-GMC-CAB       GENERAL MOTORS CORP. CABELLERO
AUTO-GMC-CYN       GENERAL MOTORS CORP. CANYON
AUTO-GMC-DEN       GENERAL MOTORS CORP. DENALI
AUTO-GMC-ENV       GENERAL MOTORS CORP. ENVOY
AUTO-GMC-JMY       GENERAL MOTORS CORP. JIMMY
AUTO-GMC-RLY       GENERAL MOTORS CORP. RALLY
AUTO-GMC-S15       GENERAL MOTORS CORP. NULL
AUTO-GMC-SAF       GENERAL MOTORS CORP. SAFARI
AUTO-GMC-SAV       GENERAL MOTORS CORP. SAVANNA VAN (1500, 2500, 3500)
AUTO-GMC-SON       GENERAL MOTORS CORP. SONOMA
AUTO-GMC-SPN       GENERAL MOTORS CORP. SPRINT
AUTO-GMC-SRA       GENERAL MOTORS CORP. SIERRA
AUTO-GMC-SUB       GENERAL MOTORS CORP. SUBURBAN
AUTO-GMC-SYC       GENERAL MOTORS CORP. SYCLONE
AUTO-GMC-TRN       GENERAL MOTORS CORP. TERRAIN
AUTO-GMC-TYP       GENERAL MOTORS CORP. TYPHOON
AUTO-GMC-VAN       GENERAL MOTORS CORP. VANDURA
AUTO-GMC-YUK       GENERAL MOTORS CORP. YUKON
AUTO-GRET-MYC      GREENTECH AUTOMOTIVE,INC NULL
AUTO-GSM-GSM       GSM GSM
AUTO-HILL-160      HILLMAN 1600 SERIES
AUTO-HILL-DEL      HILLMAN DELUXE
AUTO-HILL-HUS      HILLMAN HUSKY
AUTO-HILL-IMP      HILLMAN IMP
AUTO-HILL-MIN      HILLMAN MINX
AUTO-HILL-SCP      HILLMAN SCEPTRE
AUTO-HILL-SNI      HILLMAN SNIPE
AUTO-HILL-SUP      HILLMAN SUPER MINX
AUTO-HILN-XG       HILINE CARTS & CARS, INC. NULL
AUTO-HISP-000      HISPANO-SUIZA NULL
AUTO-HOLD-VOLT     HOLDEN NULL
AUTO-HOND-ACC      HONDA ACCORD
AUTO-HOND-CIV      HONDA CIVIC/CRX/DEL SOL
AUTO-HOND-CRV      HONDA CRV
AUTO-HOND-CRX      HONDA CRX
AUTO-HOND-CRZ      HONDA NULL
AUTO-HOND-ELE      HONDA ELEMENT
AUTO-HOND-EVP      HONDA EVPLUS
AUTO-HOND-FCX      HONDA FCX
AUTO-HOND-FIT      HONDA FIT
AUTO-HOND-INS      HONDA INSIGHT
AUTO-HOND-ODY      HONDA ODYSSEY
AUTO-HOND-PAS      HONDA PASSPORT
AUTO-HOND-PLT      HONDA PILOT
AUTO-HOND-PRE      HONDA PRELUDE
AUTO-HOND-RGL      HONDA RIDGELINE
AUTO-HOND-S20      HONDA S2000
AUTO-HUDS-COM      HUDSON COMMODORE
AUTO-HUDS-DEL      HUDSON DELUXE
AUTO-HUDS-HOR      HUDSON HORNET
AUTO-HUDS-ITA      HUDSON ITALIA
AUTO-HUDS-PAC      HUDSON PACEMAKER
AUTO-HUDS-RAM      HUDSON RAMBLER
AUTO-HUDS-SUP      HUDSON SUPER
AUTO-HUDS-WAS      HUDSON WASP
AUTO-HUMB-HAW      HUMBER HAWK
AUTO-HUMB-SNI      HUMBER SNIPE
AUTO-HUMM-HU2      HUMMER HU2
AUTO-HUMM-HU3      HUMMER HU3
AUTO-HUMM-HUM      HUMMER HUM
AUTO-HYUN-ACC      HYUNDAI ACCENT
AUTO-HYUN-ATO      HYUNDAI ATOS
AUTO-HYUN-AVA      HYUNDAI AVATAR
AUTO-HYUN-AZR      HYUNDAI AZERA
AUTO-HYUN-ELN      HYUNDAI ELANTRA
AUTO-HYUN-ENT      HYUNDAI ENTOURAGE
AUTO-HYUN-EQU      HYUNDAI EQUUS
AUTO-HYUN-EXC      HYUNDAI EXCEL
AUTO-HYUN-GEN      HYUNDAI GEN
AUTO-HYUN-MAR      HYUNDAI MARCIA
AUTO-HYUN-PON      HYUNDAI PONY
AUTO-HYUN-SCP      HYUNDAI SCOUPE
AUTO-HYUN-SFE      HYUNDAI SANTA FE
AUTO-HYUN-SON      HYUNDAI SONATA
AUTO-HYUN-STE      HYUNDAI STEILAR
AUTO-HYUN-TCN      HYUNDAI TUCSON
AUTO-HYUN-TIB      HYUNDAI TIBURON
AUTO-HYUN-VCZ      HYUNDAI VERACRUZ
AUTO-HYUN-VEL      HYUNDAI VELOSTER
AUTO-HYUN-XG       HYUNDAI XG
AUTO-IMPE-CRO      IMPERIAL(FOR MODEL YEARS 1955- CROWN
AUTO-IMPE-CUS      IMPERIAL(FOR MODEL YEARS 1955- CUSTOM
AUTO-IMPE-LEB      IMPERIAL(FOR MODEL YEARS 1955- LE BARON (FOR VEHICLE YEAR THRU 1975)
AUTO-INFI-E37      INFINITI NULL
AUTO-INFI-EX3      INFINITI EX3
AUTO-INFI-F37      INFINITI NULL
AUTO-INFI-FX3      INFINITI FX35
AUTO-INFI-FX4      INFINITI FX45
AUTO-INFI-FX5      INFINITI FX5
AUTO-INFI-G20      INFINITI G20
AUTO-INFI-G25      INFINITI NULL
AUTO-INFI-G35      INFINITI G35
AUTO-INFI-G37      INFINITI G37
AUTO-INFI-I30      INFINITI I30
AUTO-INFI-I35      INFINITI I35
AUTO-INFI-J30      INFINITI J30
AUTO-INFI-JX3      INFINITI NULL
AUTO-INFI-M30      INFINITI M30
AUTO-INFI-M35      INFINITI M35, M35 SPORT, M35 X
AUTO-INFI-M37      INFINITI M37
AUTO-INFI-M45      INFINITI M45
AUTO-INFI-M56      INFINITI NULL
AUTO-INFI-Q45      INFINITI Q45
AUTO-INFI-Q50      INFINITI NULL
AUTO-INFI-Q56      INFINITI QX56
AUTO-INFI-Q60      INFINITI NULL
AUTO-INFI-QX4      INFINITI QX4
AUTO-INFI-QX5      INFINITI NULL
AUTO-INFI-QX6      INFINITI NULL
AUTO-INFI-QX7      INFINITI NULL
AUTO-INFI-QX8      INFINITI NULL
AUTO-ISU-000       ISUZU PICKUP, THIRD GENERATION, 1988-1995
AUTO-ISU-280       ISUZU I280
AUTO-ISU-290       ISUZU I-290
AUTO-ISU-350       ISUZU I350
AUTO-ISU-370       ISUZU I-370
AUTO-ISU-AMG       ISUZU AMIGO
AUTO-ISU-ASC       ISUZU ASCENDER
AUTO-ISU-AXI       ISUZU AXIOM
AUTO-ISU-HOM       ISUZU HOMBRE
AUTO-ISU-IMA       ISUZU I-MARK
AUTO-ISU-IMP       ISUZU IMPULSE
AUTO-ISU-OAS       ISUZU OASIS
AUTO-ISU-ROD       ISUZU RODEO
AUTO-ISU-STY       ISUZU STYLUS
AUTO-ISU-TRP       ISUZU TROOPER
AUTO-ISU-VCS       ISUZU VEHICROSS
AUTO-ITAF-ANG      ITALIAN FORD ANGLIA
AUTO-JAGU-24L      JAGUAR 2.4 LITRE
AUTO-JAGU-340      JAGUAR 340
AUTO-JAGU-34L      JAGUAR 3.4 LITRE
AUTO-JAGU-38L      JAGUAR 3.8 LITRE
AUTO-JAGU-420      JAGUAR 420
AUTO-JAGU-42L      JAGUAR 4.2 LITRE
AUTO-JAGU-ETY      JAGUAR "E" TYPE
AUTO-JAGU-FTY      JAGUAR NULL
AUTO-JAGU-J12      JAGUAR XJ12
AUTO-JAGU-MAR      JAGUAR MARK V SERIES
AUTO-JAGU-MTS      JAGUAR MARK TEN SALON
AUTO-JAGU-SOV      JAGUAR SOVEREIGN
AUTO-JAGU-STY      JAGUAR S-TYPE
AUTO-JAGU-V12      JAGUAR V12
AUTO-JAGU-VAN      JAGUAR VANDEN PLAS
AUTO-JAGU-XF       JAGUAR XF
AUTO-JAGU-XJ       JAGUAR XJ
AUTO-JAGU-XJ4      JAGUAR XJ40
AUTO-JAGU-XJ6      JAGUAR XJ6
AUTO-JAGU-XJ8      JAGUAR XJ8
AUTO-JAGU-XJC      JAGUAR XJC
AUTO-JAGU-XJL      JAGUAR NULL
AUTO-JAGU-XJR      JAGUAR XJR
AUTO-JAGU-XJS      JAGUAR XJS
AUTO-JAGU-XK       JAGUAR XK
AUTO-JAGU-XK8      JAGUAR XK8
AUTO-JAGU-XKE      JAGUAR XK
AUTO-JAGU-XKR      JAGUAR XKR
AUTO-JAGU-XTY      JAGUAR X-TYPE
AUTO-JEEP-CHK      JEEP (FOR MODEL YEARS 1989 THR CHEROKEE
AUTO-JEEP-CJ2      JEEP (FOR MODEL YEARS 1989 THR CJ2
AUTO-JEEP-CJ5      JEEP (FOR MODEL YEARS 1989 THR CJ-5
AUTO-JEEP-CJ6      JEEP (FOR MODEL YEARS 1989 THR CJ-6
AUTO-JEEP-CJ7      JEEP (FOR MODEL YEARS 1989 THR CJ-7
AUTO-JEEP-CJ8      JEEP (FOR MODEL YEARS 1989 THR CJ-8
AUTO-JEEP-CMD      JEEP (FOR MODEL YEARS 1989 THR COMMANDER
AUTO-JEEP-CMP      JEEP (FOR MODEL YEARS 1989 THR COMPASS
AUTO-JEEP-COM      JEEP (FOR MODEL YEARS 1989 THR COMANCHE
AUTO-JEEP-DAK      JEEP (FOR MODEL YEARS 1989 THR DAKAR
AUTO-JEEP-GCH      JEEP (FOR MODEL YEARS 1989 THR GRAND CHEROKEE
AUTO-JEEP-J10      JEEP (FOR MODEL YEARS 1989 THR J-10
AUTO-JEEP-J20      JEEP (FOR MODEL YEARS 1989 THR J-20
AUTO-JEEP-LBY      JEEP (FOR MODEL YEARS 1989 THR LIBERTY
AUTO-JEEP-PAT      JEEP (FOR MODEL YEARS 1989 THR PATRIOT
AUTO-JEEP-RNG      JEEP (FOR MODEL YEARS 1989 THR RENEGADE
AUTO-JEEP-WAG      JEEP (FOR MODEL YEARS 1989 THR WAGONEER
AUTO-JEEP-WRG      JEEP (FOR MODEL YEARS 1989 THR WRANGLER
AUTO-JENS-HEA      JENSEN HEALY
AUTO-JENS-INT      JENSEN INTERCEPTOR
AUTO-JIAH-0000      NULL
AUTO-KAIS-CAR      KAISER CAROLINA
AUTO-KAIS-DAR      KAISER DARRIN
AUTO-KAIS-DEL      KAISER DELUXE
AUTO-KAIS-DRA      KAISER DRAGON
AUTO-KAIS-MAN      KAISER MANHATTAN
AUTO-KAIZ-000      KAIZO UNIBODIES, INC. NULL
AUTO-KIA-AMA       KIA MOTORS CORPORATION AMANTI
AUTO-KIA-AVE       KIA MOTORS CORPORATION AVELLA
AUTO-KIA-BOR       KIA MOTORS CORPORATION BORREGO
AUTO-KIA-CDZ       KIA MOTORS CORPORATION NULL
AUTO-KIA-CLR       KIA MOTORS CORPORATION CLARUS
AUTO-KIA-FRT       KIA MOTORS CORPORATION NULL
AUTO-KIA-G35       KIA MOTORS CORPORATION G35
AUTO-KIA-OPI       KIA MOTORS CORPORATION OPIRUS
AUTO-KIA-OPT       KIA MOTORS CORPORATION OPTIMA
AUTO-KIA-RIO       KIA MOTORS CORPORATION RIO
AUTO-KIA-RON       KIA MOTORS CORPORATION RONDO
AUTO-KIA-SED       KIA MOTORS CORPORATION SEDONA
AUTO-KIA-SEP       KIA MOTORS CORPORATION SEPHIA
AUTO-KIA-SOL       KIA MOTORS CORPORATION SOUL
AUTO-KIA-SOR       KIA MOTORS CORPORATION SORRENTO
AUTO-KIA-SPC       KIA MOTORS CORPORATION SPECTRA
AUTO-KIA-SPT       KIA MOTORS CORPORATION SPORTAGE
AUTO-LADA-NIV      LADA (IMPORTED FROM USSR) NIVA
AUTO-LAMO-129      LAMBORGHINI LM129
AUTO-LAMO-AVT      LAMBORGHINI NULL
AUTO-LAMO-COU      LAMBORGHINI COUNTACH
AUTO-LAMO-DIA      LAMBORGHINI DIABLO
AUTO-LAMO-ESP      LAMBORGHINI ESPADA
AUTO-LAMO-GAL      LAMBORGHINI GALLARDO
AUTO-LAMO-JAL      LAMBORGHINI JALPA
AUTO-LAMO-JAR      LAMBORGHINI JARMA
