VEHICLE CODE      VEHICLE LITERAL
AUTO-ASVE-REP      ASSEMBLED VEHICLE (FOR FURTHER REPLICA
AUTO-AUDI-100      AUDI 100
AUTO-AUDI-1GL      AUDI 100GL
AUTO-AUDI-1LS      AUDI 100LS
AUTO-AUDI-200      AUDI 200LS
AUTO-AUDI-400      AUDI 4000
AUTO-AUDI-500      AUDI 5000
AUTO-AUDI-850      AUDI 850
AUTO-AUDI-A2       AUDI A2
AUTO-AUDI-A3       AUDI A3 SPORTBACK
AUTO-AUDI-A5       AUDI CABRIOLET
AUTO-AUDI-A7       AUDI NULL
AUTO-AUDI-A80      AUDI 80
AUTO-AUDI-A90      AUDI 90
AUTO-AUDI-AA4      AUDI A4
AUTO-AUDI-AA6      AUDI A6
AUTO-AUDI-AA8      AUDI A8
AUTO-AUDI-ALL      AUDI ALLROAD
AUTO-AUDI-AS4      AUDI S4
AUTO-AUDI-AS6      AUDI S6
AUTO-AUDI-AS7      AUDI NULL
AUTO-AUDI-AS8      AUDI S8
AUTO-AUDI-AVA      AUDI AVANT
AUTO-AUDI-CAB      AUDI CABRIOLET
AUTO-AUDI-FOX      AUDI 80 LS (FOX)
AUTO-AUDI-Q5       AUDI Q5
AUTO-AUDI-Q7       AUDI Q7
AUTO-AUDI-QTO      AUDI QUATTRO
AUTO-AUDI-R8       AUDI R8
AUTO-AUDI-RS4      AUDI RS4
AUTO-AUDI-RS5      AUDI NULL
AUTO-AUDI-RS6      AUDI RS6
AUTO-AUDI-RS7      AUDI NULL
AUTO-AUDI-S5       AUDI S5
AUTO-AUDI-S7       AUDI NULL
AUTO-AUDI-S90      AUDI SUPER 90
AUTO-AUDI-TRS      AUDI NULL
AUTO-AUDI-TT       AUDI 2000 TT-ROADSTER
AUTO-AUDI-TTS      AUDI TTS
AUTO-AUDI-V8       AUDI V-8
AUTO-AUHE-100      AUSTIN-HEALY 100 SERIES
AUTO-AUHE-300      AUSTIN-HEALY 3000 SERIES
AUTO-AUHE-SAX      AUSTIN-HEALY SAXON
AUTO-AUHE-SPR      AUSTIN-HEALY SPRITE
AUTO-AUST-110      AUSTIN 1100
AUTO-AUST-180      AUSTIN 1800
AUTO-AUST-850      AUSTIN 850
AUTO-AUST-A10      AUSTIN A99 & 110
AUTO-AUST-A40      AUSTIN A40
AUTO-AUST-A55      AUSTIN A55
AUTO-AUST-A60      AUSTIN CAMBRIDGE
AUTO-AUST-CPS      AUSTIN COOPER "S"
AUTO-AUST-MAR      AUSTIN MARINA
AUTO-AUST-MIC      AUSTIN MINI COOPER
AUTO-AUST-MIN      AUSTIN MINI
AUTO-AUST-WES      AUSTIN WESTMINSTER
AUTO-AVTI-AAV      AVANTI SERIES A
AUTO-AVTI-ABV      AVANTI SERIES B
AUTO-BEJE-GST      BEIJING JEEP GANG STAR
AUTO-BENT-ARN      BENTLEY ARNAGE
AUTO-BENT-AZU      BENTLEY AZURE
AUTO-BENT-BRO      BENTLEY BROOKLANDS
AUTO-BENT-CNV      BENTLEY CNV
AUTO-BENT-CON      BENTLEY CONTINENTAL CONVERTIBLE
AUTO-BENT-COR      BENTLEY CORNICHE
AUTO-BENT-EGT      BENTLEY EIGHT
AUTO-BENT-FPR      BENTLEY FLYING SPUR
AUTO-BENT-GT       BENTLEY GT
AUTO-BENT-MUL      BENTLEY MULSANNE
AUTO-BENT-TBR      BENTLEY TURBO R
AUTO-BERO-CAB      BERTONE CABRIO
AUTO-BERO-PAL      BERTONE PALINURO
AUTO-BERO-X19      BERTONE X19
AUTO-BESA-BAC      BESASIE AUTOMOBILE CO., INC BACI
AUTO-BIGM-000      BIGMAN ELECTRIC VEHICLES OR B.I.G. MAN NULL
AUTO-BIGM-0000     BIGMAN ELECTRIC VEHICLES OR B.I.G. MAN NULL
AUTO-BMC-PRI       B M C PRINCESS
AUTO-BMW-002       BMW 2002 SERIES
AUTO-BMW-128       BMW 128
AUTO-BMW-135       BMW 135
AUTO-BMW-160       BMW 1600
AUTO-BMW-180       BMW 1800
AUTO-BMW-20        BMW 200
AUTO-BMW-200       BMW 2000 SERIES
AUTO-BMW-250       BMW 2500 SERIES
AUTO-BMW-28        BMW 2.8
AUTO-BMW-280       BMW 2800 SERIES
AUTO-BMW-28I       BMW 328I
AUTO-BMW-30        BMW 3.0 SI
AUTO-BMW-318       BMW 318I
AUTO-BMW-320       BMW 320I
AUTO-BMW-323       BMW 323I
AUTO-BMW-325       BMW 325
AUTO-BMW-328       BMW 328IS
AUTO-BMW-32I       BMW 325I
AUTO-BMW-330       BMW 330CI, 330I, 330XI
AUTO-BMW-335       BMW 335
AUTO-BMW-3TI       BMW 318TI
AUTO-BMW-520       BMW 520
AUTO-BMW-524       BMW 524 SERIES
AUTO-BMW-525       BMW 525IA
AUTO-BMW-528       BMW 528I
AUTO-BMW-530       BMW 530I
AUTO-BMW-533       BMW 533I
AUTO-BMW-535       BMW 535 SERIES
AUTO-BMW-540       BMW 540 SERIES
AUTO-BMW-545       BMW 545I
AUTO-BMW-550       BMW 550
AUTO-BMW-600       BMW 600
AUTO-BMW-630       BMW 630CSI
AUTO-BMW-633       BMW 633CSI
AUTO-BMW-635       BMW 635 SERIES
AUTO-BMW-640       BMW NULL
AUTO-BMW-645       BMW 645
AUTO-BMW-650       BMW 650CI
AUTO-BMW-733       BMW 733 SERIES
AUTO-BMW-735       BMW 735 SERIES
AUTO-BMW-740       BMW 740
AUTO-BMW-745       BMW 745I
AUTO-BMW-74I       BMW 740I
AUTO-BMW-750       BMW 750
AUTO-BMW-75L       BMW 750IL
AUTO-BMW-760       BMW 760 LI
AUTO-BMW-84C       BMW 840CI
AUTO-BMW-850       BMW 850I
AUTO-BMW-85C       BMW 850CI
AUTO-BMW-ACT       BMW NULL
AUTO-BMW-ALP       BMW ALP
AUTO-BMW-BAV       BMW BAVARIA
AUTO-BMW-ISE       BMW ISETTA
AUTO-BMW-L6        BMW L6
AUTO-BMW-L7        BMW L7
AUTO-BMW-M3        BMW M3
AUTO-BMW-M5        BMW M5
AUTO-BMW-M6        BMW M6
AUTO-BMW-TI        BMW TI
AUTO-BMW-X1        BMW NULL
AUTO-BMW-X3        BMW X3
AUTO-BMW-X5        BMW X5
AUTO-BMW-X6        BMW X6
AUTO-BMW-Z3        BMW Z3
AUTO-BMW-Z4        BMW Z4
AUTO-BMW-Z8        BMW Z8
AUTO-BORG-BEL      BORGWARD BEL AIR
AUTO-BORG-BER      BORGWARD BERETTA
AUTO-BORG-BIS      BORGWARD BISCAYNE
AUTO-BORG-HAN      BORGWARD HANSA
AUTO-BORG-ISA      BORGWARD ISABELLA
AUTO-BREM-CRE      BREMEN SPORT EQUIPMENT, INC.(B CREIGHTON
AUTO-BREM-LAU      BREMEN SPORT EQUIPMENT, INC.(B LAUFER
AUTO-BREM-MAX      BREMEN SPORT EQUIPMENT, INC.(B MAXI-TAXI
AUTO-BREM-MIN      BREMEN SPORT EQUIPMENT, INC.(B MINI-MARK
AUTO-BREM-SEB      BREMEN SPORT EQUIPMENT, INC.(B SEBRING
AUTO-BRSH-ROD      BRUSH ROADSTER ROADSTER
AUTO-BUGA-E10      BUGATTI EB110
AUTO-BUGA-VYR      BUGATTI VEYRON
AUTO-BUIC-ALR      BUICK ALLURE
AUTO-BUIC-APO      BUICK APOLLO
AUTO-BUIC-CAL      BUICK CALIFORNIA
AUTO-BUIC-CEN      BUICK CENTURY
AUTO-BUIC-CNT      BUICK CENTURION
AUTO-BUIC-ECR      BUICK NULL
AUTO-BUIC-ELE      BUICK ELECTRA (PARK AVENUE)
AUTO-BUIC-ENC      BUICK ENCLAVE
AUTO-BUIC-EST      BUICK ESTATE WAGON
